ORDER	ARTIST	ALBUM	TRACK
31347	'Weird Al' Yankovic	Dare To Be Stupid	01 - Like A Surgeon.flac
31347	'Weird Al' Yankovic	Dare To Be Stupid	02 - Dare To Be Stupid.flac
31347	'Weird Al' Yankovic	Dare To Be Stupid	03 - I Want A New Duck.flac
31347	'Weird Al' Yankovic	Dare To Be Stupid	04 - One More Minute.flac
31347	'Weird Al' Yankovic	Dare To Be Stupid	05 - Yoda.flac
31347	'Weird Al' Yankovic	Dare To Be Stupid	06 - George Of The Jungle.flac
31347	'Weird Al' Yankovic	Dare To Be Stupid	07 - Slime Creatures From Outer Space.flac
31347	'Weird Al' Yankovic	Dare To Be Stupid	08 - Girls Just Want To Have Lunch.flac
31347	'Weird Al' Yankovic	Dare To Be Stupid	09 - This Is The Life.flac
31347	'Weird Al' Yankovic	Dare To Be Stupid	10 - Cable TV.flac
31347	'Weird Al' Yankovic	Dare To Be Stupid	11 - Hooked On Polkas.flac
31347	'Weird Al' Yankovic	Running With Scissors	01 - The Saga Begins.flac
31347	'Weird Al' Yankovic	Running With Scissors	02 - My Baby's In Love With Eddie Vedder.flac
31347	'Weird Al' Yankovic	Running With Scissors	03 - Pretty Fly For A Rabbi.flac
31347	'Weird Al' Yankovic	Running With Scissors	04 - The Weird Al Show Theme.flac
31347	'Weird Al' Yankovic	Running With Scissors	05 - Jerry Springer.flac
31347	'Weird Al' Yankovic	Running With Scissors	06 - Germs.flac
31347	'Weird Al' Yankovic	Running With Scissors	07 - Polka Power!.flac
31347	'Weird Al' Yankovic	Running With Scissors	08 - Your Horoscope For Today.flac
31347	'Weird Al' Yankovic	Running With Scissors	09 - It's All About The Pentiums.flac
31347	'Weird Al' Yankovic	Running With Scissors	10 - Truck Drivin' Song.flac
31347	'Weird Al' Yankovic	Running With Scissors	11 - Grapefruit Diet.flac
31347	'Weird Al' Yankovic	Running With Scissors	12 - Albuquerque.flac
31347	ABBA	Gold- Greatest Hits, ABBA	01 - Dancing Queen.flac
31347	ABBA	Gold- Greatest Hits, ABBA	02 - Knowing Me, Knowing You.flac
31347	ABBA	Gold- Greatest Hits, ABBA	03 - Take A Chance On Me.flac
31347	ABBA	Gold- Greatest Hits, ABBA	04 - Mamma Mia.flac
31347	ABBA	Gold- Greatest Hits, ABBA	05 - Lay All Your Love On Me.flac
31347	ABBA	Gold- Greatest Hits, ABBA	06 - Super Trouper.flac
31347	ABBA	Gold- Greatest Hits, ABBA	07 - I Have A Dream.flac
31347	ABBA	Gold- Greatest Hits, ABBA	08 - The Winner Takes It All.flac
31347	ABBA	Gold- Greatest Hits, ABBA	09 - Money, Money, Money.flac
31347	ABBA	Gold- Greatest Hits, ABBA	10 - S.O.S.flac
31347	ABBA	Gold- Greatest Hits, ABBA	11 - Chiquita.flac
31347	ABBA	Gold- Greatest Hits, ABBA	12 - Fernando.flac
31347	ABBA	Gold- Greatest Hits, ABBA	13 - Voulez Vous.flac
